id;name;api_url;api_key;status_code;description;created_at;updated_at
0d4ce1e8-bc56-4c1a-8df5-0c7ae20efd6e;failing fervently;aw punctually obligation;provided;steak;../fake-data/blob/hipster.txt;2025-09-15T17:27:07;2025-09-15T18:35:38
41976388-bc49-43be-975f-ee931248d0ce;uh-huh fooey unless;loftily;venture calculating;rationalize;../fake-data/blob/hipster.txt;2025-09-16T02:42:31;2025-09-15T04:40:03
e7da2549-fdbc-4125-8d7b-611fbb47fc9f;about surprise;grown commonly;astride pharmacopoeia;likely character mid;../fake-data/blob/hipster.txt;2025-09-15T03:09:28;2025-09-15T12:34:37
84ddab30-b279-46d7-8367-139359550f4d;mostly;whine instead times;but;stack overplay painf;../fake-data/blob/hipster.txt;2025-09-15T04:47:40;2025-09-15T14:45:49
50294982-3ccb-471c-be10-4f8ae4b62ad8;regarding factorize;likely;properly who;yum airline wildly;../fake-data/blob/hipster.txt;2025-09-15T13:02:29;2025-09-15T08:31:48
1640a2fb-b108-424e-9960-3c2336b41f5c;favorite;delectable besmirch colorless;unlawful;till hopelessly;../fake-data/blob/hipster.txt;2025-09-15T05:47:18;2025-09-15T10:50:16
40b92e62-c281-413e-8f94-8d4d3ac82d10;enormously woot uselessly;spirited;that;greatly substantial;../fake-data/blob/hipster.txt;2025-09-15T22:40:28;2025-09-15T15:41:36
34a64437-83f5-4805-9b47-31ada799833c;majestically;prance yuppify battle;huzzah under;jury;../fake-data/blob/hipster.txt;2025-09-15T14:37:48;2025-09-16T01:06:22
a92a2626-b1f1-44b8-8dcc-df1e8c8b50ac;supposing brr manner;instead weakly fervently;when though;sweetly scramble;../fake-data/blob/hipster.txt;2025-09-15T19:47:13;2025-09-15T17:33:28
e4d7d5dc-b75d-4cc0-81ae-1f6797f78847;damaged;starch on ponder;frenetically voluminous off;duffel mom drat;../fake-data/blob/hipster.txt;2025-09-16T00:31:26;2025-09-15T18:37:40
